window,duration,r1,r2,r3,r4,r5,seed,a,b,c,rr1
85,10.000000,0,0,10,10,10,0,0,0,5327840,7179184
86,10.000000,0,0,10,10,10,0,0,0,5243688,7263336
87,10.000000,0,0,10,10,10,0,0,0,5159536,7347488
88,10.000000,0,0,10,10,10,0,0,0,5075384,7431640
89,10.000000,0,0,10,10,10,0,0,0,4991232,7515792
90,10.000000,0,0,10,10,10,0,0,0,4907616,7599944
9,10.000000,0,0,10,10,10,0,0,0,2305872,2305872
91,10.000000,0,0,10,10,10,0,0,0,4823464,7684096
92,10.000000,0,0,10,10,10,0,0,0,4739312,7768248
93,10.000000,0,0,10,10,10,0,0,0,4655160,7852400
94,10.000000,0,0,10,10,10,0,0,0,4571008,7936552
95,10.000000,0,0,10,10,10,0,0,0,4486856,8020704
96,10.000000,0,0,10,10,10,0,0,0,4402704,8104856
97,10.000000,0,0,10,10,10,0,0,0,4318552,8189008
98,10.000000,0,0,10,10,10,0,0,0,4233864,8273160
99,10.000000,0,0,10,10,10,0,0,0,4150248,8356776
